CompId,GroupId,TeamId1,TeamId2,TeamId3,TeamId4
CC,1,234,46,896,78
CC,2,241,1,66,175
CC,3,247,461,101059,674
CC,4,5,240,325,23
CC,5,100769,10,130015,130030
CC,6,45,11,481,130014
CC,7,21,236,280,52
CC,8,73,243,237,130017
EL,1,17,1896,267,48
EL,2,245,9,231,110468
EL,3,483,112218,873,1889
EL,4,254,1871,219,900
EL,5,1884,298,100409,326
EL,6,110374,448,417,130034
EL,7,32,191,110227,110770
EL,8,100765,130022,320,18
EL,9,229,1906,130029,1819
EL,10,34,69,393,1456
EL,11,22,315,130016,1915
EL,12,327,59,106000,110536
