5,175,1,1,1,1200
5,175,1,1,1,1600
5,178,2,1,1,1200
5,178,2,1,1,1600
5,181,3,1,1,1200
5,181,3,1,1,1600
6,176,1,1,1,1200
6,176,1,1,1,1600
6,179,2,1,1,1200
6,179,2,1,1,1600
6,182,3,1,1,1200
6,182,3,1,1,1600
8,185,1,1,1,1600
9,186,1,1,1,1600
11,188,1,1,1,1600
13,189,1,1,1,1600
41,172,1,1,1,1200
41,172,1,1,1,1400
41,176,2,1,1,1600
41,177,2,1,1,1200
41,182,3,2,2,1600
42,172,1,1,1,1600
42,172,1,1,1,1800
42,177,2,1,1,1400
42,177,2,1,1,1600
42,182,3,2,2,1600
43,173,1,1,1,1200
43,173,1,1,1,1400
43,178,2,1,1,1200
43,178,2,1,1,1400
43,183,3,2,2,1600
44,173,1,1,1,1600
44,173,1,1,1,1800
44,178,2,1,1,1600
44,179,2,1,1,1200
44,183,3,2,2,1600
45,174,1,1,1,1200
45,174,1,1,1,1400
45,179,2,1,1,1400
45,179,2,1,1,1600
45,184,3,2,2,1600
46,174,1,1,1,1600
46,175,1,1,1,1200
46,180,2,1,1,1200
46,180,2,1,1,1400
46,184,3,2,2,1600
47,175,1,1,1,1400
47,175,1,1,1,1600
47,180,2,1,1,1600
47,181,2,1,1,1200
47,185,3,2,2,1600
48,176,1,1,1,1200
48,176,1,1,1,1400
48,181,2,1,1,1400
48,181,2,1,1,1600
48,185,3,2,2,1600
50,186,1,1,1,1900
51,186,1,1,1,2045
52,187,1,1,1,1900
53,187,1,1,1,2045
54,188,1,1,1,1900
55,188,1,1,1,2045
56,189,1,1,1,1900
57,189,1,1,1,2045
59,193,1,1,1,1900
60,193,1,1,1,2045
61,194,1,1,1,1900
62,194,1,1,1,2045
64,198,1,1,1,2045
65,199,1,1,1,2045
67,202,1,1,1,2045
69,203,1,1,1,2045
75,360,1,1,1,2100
76,360,1,1,1,2100
77,362,1,1,1,2100
79,364,1,1,1,2100
88,174,1,1,1,1800
88,174,1,1,1,2045
88,178,2,1,1,1800
88,178,2,1,1,2045
88,182,3,2,2,2045
89,175,1,1,1,1900
89,175,1,1,1,2145
89,179,2,1,1,1900
89,179,2,1,1,2145
89,183,3,2,2,2145
90,176,1,1,1,1800
90,176,1,1,1,2045
90,180,2,1,1,1800
90,180,2,1,1,2045
90,184,3,2,2,2045
91,177,1,1,1,1900
91,177,1,1,1,2145
91,181,2,1,1,1900
91,181,2,1,1,2145
91,185,3,2,2,2145
93,186,1,1,1,2045
94,187,1,1,1,2045
95,188,1,1,1,2145
96,189,1,1,1,2145
98,192,1,1,1,2145
99,193,1,1,1,2045
101,196,1,1,1,2145
103,243,1,1,1,1945
116,262,1,2,2,1945
116,275,2,2,2,1945
116,296,3,2,2,1945
116,311,4,2,2,1945
116,331,5,2,2,1945
116,346,6,2,2,1945
117,262,1,2,2,1945
117,275,2,2,2,1945
117,296,3,2,2,1945
117,311,4,2,2,1945
117,331,5,2,2,1945
117,346,6,2,2,1945
118,262,1,2,2,1945
118,275,2,2,2,1945
118,296,3,2,2,1945
118,311,4,2,2,1945
118,331,5,2,2,1945
118,346,6,2,2,1945
119,262,1,2,2,1945
119,275,2,2,2,1945
119,296,3,2,2,1945
119,311,4,2,2,1945
119,331,5,2,2,1945
119,346,6,2,2,1945
120,261,1,2,2,1945
120,276,2,2,2,1945
120,297,3,2,2,1945
120,310,4,2,2,1945
120,332,5,2,2,1945
120,345,6,2,2,1945
121,261,1,2,2,1945
121,276,2,2,2,1945
121,297,3,2,2,1945
121,310,4,2,2,1945
121,332,5,2,2,1945
121,345,6,2,2,1945
122,261,1,2,2,1945
122,276,2,2,2,1945
122,297,3,2,2,1945
122,310,4,2,2,1945
122,332,5,2,2,1945
122,345,6,2,2,1945
123,261,1,2,2,1945
123,276,2,2,2,1945
123,297,3,2,2,1945
123,310,4,2,2,1945
123,332,5,2,2,1945
123,345,6,2,2,1945
128,415,1,1,1,1945
128,437,2,1,1,1945
129,415,1,1,1,1945
129,437,2,1,1,1945
130,416,1,1,1,1945
130,436,2,1,1,1945
131,416,1,1,1,1945
131,436,2,1,1,1945
132,422,1,1,1,1945
132,444,2,1,1,1945
133,422,1,1,1,1945
133,444,2,1,1,1945
134,423,1,1,1,1945
134,443,2,1,1,1945
135,423,1,1,1,1945
135,443,2,1,1,1945
139,457,1,1,1,1945
139,465,2,1,1,1945
140,458,1,1,1,1945
140,464,2,1,1,1945
141,457,1,1,1,1945
141,465,2,1,1,1945
142,458,1,1,1,1945
142,464,2,1,1,1945
146,478,1,1,1,1945
146,486,2,1,1,1945
147,479,1,1,1,1945
147,485,2,1,1,1945
