Date,Time,Home Id,Away Id
20170819,1600,1853,483
20170819,1800,110062,240
20170819,1800,450,457
20170819,2000,241,449
20170819,2200,100888,463
20170820,1200,481,452
20170820,1300,573,467
20170820,1600,448,1860
20170820,2000,242,243
20170821,2000,461,472
20170826,1300,110062,573
20170826,1600,1853,242
20170826,1800,457,483
20170826,2000,449,450
20170826,2200,463,241
20170827,1200,452,100888
20170827,1600,1860,481
20170827,1800,467,448
20170827,2000,243,461
20170828,2000,472,240
20170909,1300,243,1853
20170909,1600,242,457
20170909,1800,483,449
20170909,2000,450,463
20170909,2200,241,452
20170910,1200,100888,1860
20170910,1600,481,467
20170910,1800,448,110062
20170910,2000,461,240
20170911,2000,573,472
20170916,1300,452,450
20170916,1600,457,243
20170916,1800,449,242
20170916,2000,463,483
20170916,2200,1853,461
20170917,1200,1860,241
20170917,1600,467,100888
20170917,1800,110062,481
20170917,2000,240,573
20170918,2000,472,448
20170920,1800,1853,457
20170920,1800,243,449
20170920,2000,450,1860
20170920,2000,242,463
20170920,2000,483,452
20170920,2200,461,573
20170921,1800,100888,110062
20170921,1800,241,467
20170921,2000,448,240
20170921,2000,481,472
20170923,1300,457,461
20170923,1600,449,1853
20170923,1800,463,243
20170923,2000,452,242
20170923,2200,1860,483
20170924,1200,467,450
20170924,1600,110062,241
20170924,1800,472,100888
20170924,2000,240,481
20170925,2000,573,448
20170930,1300,457,449
20170930,1600,1853,463
20170930,1800,243,452
20170930,2000,242,1860
20170930,2200,483,467
20171001,1200,450,110062
20171001,1600,241,472
20171001,1800,100888,240
20171001,2000,461,448
20171002,2000,481,573
20171014,1300,449,461
20171014,1600,463,457
20171014,1800,452,1853
20171014,2000,1860,243
20171014,2200,467,242
20171015,1200,110062,483
20171015,1600,472,450
20171015,1800,448,481
20171015,2000,240,241
20171016,2000,573,100888
20171021,1300,449,463
20171021,1600,457,452
20171021,1800,1853,1860
20171021,2000,243,467
20171021,2200,242,110062
20171022,1200,483,472
20171022,1600,241,573
20171022,1800,450,240
20171022,2000,461,481
20171023,2000,100888,448
20171028,1300,463,461
20171028,1600,452,449
20171028,1800,1860,457
20171028,2000,467,1853
20171028,2200,110062,243
20171029,1200,472,242
20171029,1600,573,450
20171029,1800,240,483
20171029,2000,448,241
20171030,2000,481,100888
20171104,1300,463,452
20171104,1600,449,1860
20171104,1800,457,467
20171104,2000,1853,110062
20171104,2000,243,472
20171105,1200,483,573
20171105,1600,242,240
20171105,1800,450,448
20171105,2000,241,481
20171106,2000,461,100888
20171118,1300,452,461
20171118,1600,1860,463
20171118,1800,467,449
20171118,2000,110062,457
20171118,2200,472,1853
20171119,1200,481,450
20171119,1600,573,242
20171119,1800,448,483
20171119,2000,240,243
20171120,2000,100888,241
20171125,1300,452,1860
20171125,1600,463,467
20171125,1800,449,110062
20171125,2000,457,472
20171125,2200,1853,240
20171126,1200,243,573
20171126,1600,242,448
20171126,1800,483,481
20171126,2000,461,241
20171127,2000,450,100888
20171202,1300,1860,461
20171202,1600,467,452
20171202,1800,110062,463
20171202,2000,472,449
20171202,2200,240,457
20171203,1200,573,1853
20171203,1600,100888,483
20171203,1800,481,242
20171203,2000,448,243
20171204,2000,241,450
20171209,1300,1860,467
20171209,1600,452,110062
20171209,1800,463,472
20171209,2000,449,240
20171209,2200,457,573
20171210,1200,1853,448
20171210,1600,242,100888
20171210,1800,243,481
20171210,2000,483,241
20171211,2000,461,450
20171216,1300,467,461
20171216,1600,110062,1860
20171216,1800,472,452
20171216,2000,240,463
20171216,2200,573,449
20171217,1200,448,457
20171217,1600,481,1853
20171217,1800,100888,243
20171217,2000,241,242
20171218,2000,450,483
20171220,1800,1860,472
20171220,1800,452,240
20171220,1800,467,110062
20171220,2000,449,448
20171221,1800,1853,100888
20171221,1800,457,481
20171221,2000,463,573
20171221,2000,242,450
20171221,2200,243,241
20171221,2200,461,483
20180106,1300,461,110062
20180106,1600,472,467
20180106,1800,240,1860
20180106,2000,573,452
20180106,2200,481,449
20180107,1200,100888,457
20180107,1600,448,463
20180107,1800,241,1853
20180107,2000,450,243
20180108,2000,483,242
