Date,Time,Home Id,Away Id
20170805,2000,1530,59
20170805,2000,69,1809
20170805,2000,1819,72
20170805,2000,294,74
20170805,2000,68,62
20170805,2000,65,71
20170805,2000,70,210
20170805,2000,219,110569
20170805,2000,66,76
20170805,2000,73,1816
20170812,2000,1816,1530
20170812,1500,110569,69
20170813,1600,62,73
20170812,2000,71,219
20170812,2000,59,68
20170812,2000,72,294
20170812,2000,76,65
20170812,2000,210,1819
20170812,2000,74,66
20170813,2100,1809,70
20170820,1600,1819,1816
20170819,2000,294,71
20170819,2000,68,69
20170820,1800,65,210
20170819,2000,70,76
20170819,2000,72,62
20170819,2000,219,1530
20170820,2100,66,59
20170819,1500,73,1809
20170819,2000,74,110569
20170826,2000,1816,72
20170826,2000,1530,65
20170826,2000,110569,70
20170827,1600,62,76
20170826,2000,71,66
20170826,2000,59,294
20170827,1800,73,1819
20170826,2000,210,68
20170826,1500,1809,74
20170827,2100,69,219
20170909,1500,1819,1530
20170909,2000,294,1809
20170909,2000,68,73
20170910,1800,65,59
20170909,2000,70,71
20170910,2100,72,69
20170909,2000,219,74
20170909,2000,66,62
20170909,2000,76,1816
20170909,2000,210,110569
20170917,1600,1816,219
20170916,2000,1530,68
20170916,2000,69,76
20170916,2000,110569,1819
20170916,2000,62,65
20170916,2000,294,70
20170916,2000,71,210
20170916,2000,74,72
20170917,2100,1809,59
20170917,2100,73,66
20170923,2000,1819,74
20170923,2000,68,294
20170923,2000,59,62
20170924,1600,65,69
20170924,2100,70,73
20170923,2000,72,1530
20170924,1800,219,1809
20170923,2000,66,110569
20170923,2000,76,71
20170923,1500,210,1816
20171001,2100,1816,65
20170930,2000,1530,66
20170930,2000,69,70
20170930,2000,110569,76
20170930,2000,62,1809
20170930,2000,294,1819
20170930,2000,71,68
20171001,1800,72,219
20170930,2000,73,59
20170930,1500,74,210
20171014,2000,1819,68
20171014,2000,110569,73
20171014,2000,62,74
20171015,2100,59,71
20171014,2000,65,294
20171014,2000,70,72
20171015,1600,66,69
20171014,2000,76,219
20171014,2000,210,1530
20171015,1800,1809,1816
20171021,2000,1816,59
20171021,2000,1530,1809
20171021,2000,69,210
20171022,1800,1819,70
20171021,2000,294,66
20171021,2000,68,110569
20171021,2000,71,62
20171022,1600,72,76
20171021,2000,74,65
20171022,2100,219,73
20171028,2000,110569,71
20171028,2000,62,1816
20171028,2000,59,69
20171029,2100,65,219
20171028,2000,70,74
20171028,2000,66,68
20171029,1600,73,72
20171028,2000,76,1530
20171028,2000,210,294
20171029,1800,1809,1819
20171104,2000,1530,73
20171104,2000,69,62
20171104,1500,294,76
20171105,1600,68,65
20171105,1800,71,1809
20171104,2000,70,1816
20171104,2000,72,110569
20171104,2000,219,210
20171104,2000,74,59
20171105,2100,1819,66
20171118,2000,1816,69
20171118,1500,110569,294
20171118,2000,62,1530
20171118,2000,59,219
20171118,2000,65,1819
20171119,2100,66,70
20171118,2000,73,71
20171118,2000,76,74
20171119,1600,210,72
20171119,1800,1809,68
20171125,2000,1819,76
20171125,2000,110569,1809
20171125,2000,294,1530
20171125,2000,68,1816
20171126,1600,70,65
