CompId,GroupId,TeamId1,TeamId2,TeamId3,TeamId4
CC,1,240,45,280,320
CC,2,243,896,9,130024
CC,3,234,100769,32,69
CC,4,1,22,325,229
CC,5,21,10,315,52
CC,6,241,73,245,130014
CC,7,5,34,237,130023
CC,8,236,101059,448,130030
EL,1,483,894,23,100765
EL,2,231,54,819,254
EL,3,327,18,110536,130029
EL,4,191,78,130017,66
EL,5,312,247,1884,10020
EL,6,44,130016,1819,1908
EL,7,246,232,481,130020
EL,8,7,175,112218,65
EL,9,48,900,130036,267
EL,10,820,744,106000,130015
EL,11,110374,62,393,874
EL,12,1871,436,2007,1891
