0,1,100,0,0,25,1600,1900
0,2,100,0,0,25,1600,1900
0,3,100,0,0,25,1600,1900
0,4,100,0,0,25,1600,1900
0,5,100,0,0,25,1600,1900
0,6,100,0,0,25,1600,1900
0,7,100,0,0,25,1600,1900
0,8,100,0,0,25,1600,1900
0,9,100,0,0,25,1600,1900
0,10,100,0,0,25,1600,1900
0,11,100,0,0,25,1600,1900
0,12,100,0,0,25,1600,1900
295,1,40,35,25,60,0,1700
295,2,40,40,20,55,1630,1730
295,3,50,30,20,45,1700,1800
295,4,55,35,10,35,1800,1900
295,5,70,30,0,20,1900,2000
295,6,80,20,0,10,2000,2100
295,7,90,10,0,0,2000,2100
295,8,85,15,0,0,1900,2000
295,9,75,25,0,10,1800,1900
295,10,45,55,0,20,1700,1800
295,11,45,40,15,40,1630,1730
295,12,50,20,30,60,0,1700
315,1,40,35,25,60,0,1700
315,2,40,40,20,55,1630,1730
315,3,50,30,20,45,1700,1800
315,4,55,35,10,35,1800,1900
315,5,70,30,0,20,1900,2000
315,6,80,20,0,10,2000,2100
315,7,90,10,0,0,2000,2100
315,8,85,15,0,0,1900,2000
315,9,75,25,0,10,1800,1900
315,10,45,55,0,20,1700,1800
315,11,45,40,15,40,1630,1730
315,12,50,20,30,60,0,1700
343,1,40,35,25,60,0,1700
343,2,40,40,20,55,1630,1730
343,3,50,30,20,45,1700,1800
343,4,55,35,10,35,1800,1900
343,5,70,30,0,20,1900,2000
343,6,80,20,0,10,2000,2100
343,7,90,10,0,0,2000,2100
343,8,85,15,0,0,1900,2000
343,9,75,25,0,10,1800,1900
343,10,45,55,0,20,1700,1800
343,11,45,40,15,40,1630,1730
343,12,50,20,30,60,0,1700
365,1,40,45,15,65,0,1700
365,2,50,40,10,50,1630,1730
365,3,40,55,5,35,1700,1800
365,4,60,40,0,20,1800,1900
365,5,70,30,0,15,1900,2000
365,6,85,15,0,5,2000,2100
365,7,90,10,0,5,2000,2100
365,8,90,10,0,5,1900,2000
365,9,75,25,0,15,1800,1900
365,10,50,50,0,35,1700,1800
365,11,45,55,0,55,1630,1730
365,12,35,45,20,65,0,1700
809,1,50,35,15,60,0,1700
809,2,55,35,10,50,1630,1730
809,3,60,40,0,35,1700,1800
809,4,75,25,0,20,1800,1900
809,5,80,20,0,15,1900,2000
809,6,85,15,0,5,2000,2100
809,7,90,10,0,0,2000,2100
809,8,90,10,0,0,1900,2000
809,9,70,30,0,15,1800,1900
809,10,60,40,0,35,1700,1800
809,11,45,45,10,50,1630,1730
809,12,50,35,15,60,0,1700
937,1,45,40,15,70,0,1700
937,2,50,40,10,55,1630,1730
937,3,60,40,0,35,1700,1800
937,4,75,25,0,20,1800,1900
937,5,80,20,0,15,1900,2000
937,6,85,15,0,5,2000,2100
937,7,90,10,0,0,2000,2100
937,8,90,10,0,0,1900,2000
937,9,70,30,0,15,1800,1900
937,10,60,40,0,35,1700,1800
937,11,45,45,10,50,1630,1730
937,12,50,35,15,60,0,1700
1004,1,40,45,15,65,0,1700
1004,2,50,40,10,50,1630,1730
1004,3,40,55,5,35,1700,1800
1004,4,60,40,0,20,1800,1900
1004,5,70,30,0,15,1900,2000
1004,6,85,15,0,5,2000,2100
1004,7,90,10,0,5,2000,2100
1004,8,90,10,0,5,1900,2000
1004,9,75,25,0,15,1800,1900
1004,10,50,50,0,35,1700,1800
1004,11,45,55,0,55,1630,1730
1004,12,35,45,20,65,0,1700
1036,1,45,45,10,60,0,1700
1036,2,55,40,5,50,1630,1730
1036,3,60,40,0,35,1700,1800
1036,4,70,30,0,20,1800,1900
1036,5,80,20,0,15,1900,2000
1036,6,95,5,0,5,2000,2100
1036,7,95,5,0,5,2000,2100
1036,8,90,10,0,0,1900,2000
1036,9,85,15,0,15,1800,1900
1036,10,65,35,0,35,1700,1800
1036,11,40,50,10,55,1630,1730
1036,12,40,50,10,65,0,1700
1100,1,45,40,15,70,0,1700
1100,2,50,40,10,55,1630,1730
1100,3,50,40,10,35,1700,1800
1100,4,75,25,0,20,1800,1900
1100,5,80,20,0,15,1900,2000
1100,6,85,15,0,5,2000,2100
1100,7,90,10,0,0,2000,2100
1100,8,90,10,0,0,1900,2000
1100,9,70,30,0,15,1800,1900
1100,10,55,40,5,35,1700,1800
1100,11,45,45,10,50,1630,1730
1100,12,50,35,15,60,0,1700
1129,1,50,15,35,60,0,1700
1129,2,50,25,25,55,1630,1730
1129,3,55,40,5,45,1700,1800
