CompId,GroupId,TeamId1,TeamId2,TeamId3,TeamId4
CC,1,240,45,280,320
CC,2,243,896,9,130024
CC,3,234,100769,32,69
CC,4,1,22,325,229
CC,5,21,10,315,52
CC,6,241,73,245,130014
CC,7,5,34,237,130023
CC,8,236,101059,448,130030
EL,1,481,254,1952,269
EL,2,18,100765,15005,191
EL,3,44,436,2007,110231
EL,4,483,894,83,819
EL,5,110374,7,873,897
EL,6,66,175,1445,112218
EL,7,247,1819,417,112512
EL,8,900,23,298,874
EL,9,457,62,10020,711
EL,10,1908,169,433,100804
EL,11,393,312,54,700
EL,12,231,1891,742,563
