60,0,1337
60,1,1343
60,3,1318
60,4,1335
60,5,105035
60,6,1354
60,7,1325
60,8,1365
60,9,1338
60,10,1356
60,11,1364
60,12,1367
60,13,1353
60,14,1319
60,2,1362
98,0,1362
98,1,1360
98,2,1343
98,3,1337
98,4,1335
98,5,1357
98,6,1354
98,7,1319
98,8,1365
98,9,1341
98,10,1363
98,11,1328
98,12,105013
98,13,1322
98,14,1331
98,15,1366
114,0,243
178,0,481
178,1,234
280,0,191
280,1,256
296,0,191
296,1,254
296,2,15009
296,3,209
296,4,111822
300,0,231
300,1,229
322,0,231
322,1,674
322,2,229
322,3,232
322,4,100081
322,5,670
322,6,673
322,7,2007
328,0,269
328,1,820
348,0,1516
348,1,819
348,2,269
348,3,1786
348,4,820
348,5,1788
355,0,1
355,1,5
565,0,5
759,0,5
759,1,10
759,2,1
759,3,11
759,4,18
759,5,9
759,6,17
759,7,1960
759,8,1806
799,0,69
799,1,219
917,0,69
917,1,66
917,2,73
917,3,219
917,4,1819
917,5,59
917,6,70
917,7,65
917,8,74
924,0,22
924,1,175
979,0,21
979,1,175
979,2,23
979,3,32
979,4,100409
979,5,34
979,6,22
979,7,10029
979,8,1824
994,0,45
994,1,52
1048,0,45
1048,1,52
1048,2,46
1048,3,110374
1048,4,48
1048,5,110556
1048,6,1837
1048,7,44
1048,8,54
1055,0,1914
1055,1,1915
1080,0,247
1080,1,245
1080,2,1906
1080,3,246
1080,4,1909
1080,5,1914
1080,6,1913
1080,7,1915
1084,0,917
1084,1,417
1106,0,417
1106,1,298
1106,2,1456
1106,3,922
1106,4,299
1110,0,873
1110,1,1871
1132,0,873
1132,1,1871
1132,2,110745
1132,3,111092
1132,4,111091
1139,0,237
1139,1,1896
1161,0,234
1161,1,236
1161,2,237
1161,3,1896
1161,4,1887
1161,5,1889
1161,6,1891
1161,7,1892
1165,0,100765
1165,1,312
1187,0,100769
1187,1,315
1187,2,112218
1187,3,312
1187,4,110227
1187,5,100767
1187,6,100765
1187,7,110109
1191,0,620
1191,1,181
1219,0,78
1219,1,77
1219,2,620
1219,3,100804
1219,4,181
1219,5,180
1229,0,241
1229,1,448
1282,0,243
1282,1,241
1282,2,240
1282,3,461
1282,4,481
1282,5,483
1282,6,448
1282,7,450
1282,8,573
1297,0,319
1297,1,705
1319,0,320
1319,1,319
1319,2,433
1319,3,700
1319,4,711
1319,5,705
1323,0,110770
1323,1,896
1339,0,896
1339,1,900
1339,2,894
1339,3,1715
1339,4,897
1339,5,898
1339,6,110770
1343,0,325
1343,1,326
1343,2,327
1343,3,101014
1343,4,436
1343,5,742
1343,6,113142
1347,0,1386
1347,1,1387
1347,2,1383
1347,3,111481
1360,0,110147
1372,0,696
1372,1,112134
1401,0,697
1401,1,691
1401,2,111144
1401,3,689
1426,0,110781
1426,1,1881
1426,2,1878
1426,3,1880
1443,0,110144
1443,1,110150
1443,2,1970
1443,3,1879
1461,0,1411
1461,1,974
1461,2,111114
1461,3,1415
1475,0,130186
1512,0,111397
1512,1,111400
1512,2,111393
1530,0,111839
1530,1,111724
1530,2,111768
1534,0,112387
1534,1,605
1554,0,112139
1554,1,112387
1554,2,605
1554,3,113057
1554,4,607
1557,0,605
1557,1,112139
1571,0,981
1571,1,982
1571,2,1474
1571,3,1473
1575,0,1370
1575,1,1369
1575,2,1377
1575,3,111109
1575,4,111459
1575,5,111465
1605,0,1629
1646,0,112476
1646,1,101100
1681,0,1876
1681,1,1013
1681,2,111706
1681,3,110395
1681,4,101083
1681,5,120002
1681,6,110093
1681,7,111711
1681,8,101085
1681,9,101084
1681,10,111710
1685,0,15029
1685,1,110980
1685,2,112116
1685,3,111328
1685,4,112533
1685,5,110977
1685,6,110976
1685,7,110978
1688,0,112531
1688,1,110977
1688,2,15029
1688,3,112584
1688,4,110978
1688,5,112533
1688,6,110976
1688,7,110980
1692,0,101100
1692,1,101104
1692,2,112527
1692,3,112578
1692,4,101106
1692,5,101101
1692,6,101102
1692,7,111723
1702,0,101104
1702,1,101105
1702,2,111722
1702,3,101102
1702,4,101101
1702,5,101100
1702,6,111723
1702,7,101106
1713,0,383
1713,1,1629
1713,2,1053
1713,3,1043
1713,4,1035
1713,5,1039
1713,6,1041
1713,7,598
1713,8,569
1713,9,567
1713,10,111057
1717,0,1393
1717,1,1667
1717,2,111111
1717,3,111130
