CompId,GroupId,TeamId1,TeamId2,TeamId3,TeamId4
CC,1,236,219,32,819
CC,2,11,22,48,457
CC,3,241,10,247,896
CC,4,234,315,34,229
CC,5,243,73,1,325
CC,6,5,47,100769,280
CC,7,21,245,66,101059
CC,8,240,45,78,1892
EL,1,461,246,1824,231
EL,2,18,110089,673,320
EL,3,59,83,481,111092
EL,4,25,1960,319,232
EL,5,46,1445,1788,100804
EL,6,100766,1786,191,111086
EL,7,1917,898,1909,10020
EL,8,110374,72,873,711
EL,9,1887,55,209,1715
EL,10,1906,1819,81,820
EL,11,36,1896,298,1903
EL,12,100767,449,894,445

