0,0,FIFA,FIFA,-1
1,3,C999,TrophyName_Abbr15_999,0
2,4,S1,FCE_Setup_Stage,1
3,5,G1, ,2
4,4,S2,FCE_Group_Stage,1
5,5,G1,FCE_Group_A,4
6,5,G2,FCE_Group_B,4
7,4,S3,FCE_Semi_Finals,1
8,5,G1, ,7
9,5,G2, ,7
10,4,S4,FCE_Third_Place,1
11,5,G1, ,10
12,4,S5,FCE_Final,1
13,5,G1, ,12
14,3,C990,TrophyName_Abbr15_990,1469
15,4,S1,FCE_Setup_Stage,14
16,5,G1, ,15
17,5,G2, ,15
18,5,G3, ,15
19,5,G4, ,15
20,5,G5, ,15
21,4,S2,FCE_Setup_Group,14
22,5,G1, ,21
23,5,G2, ,21
24,5,G3, ,21
25,5,G4, ,21
26,5,G5, ,21
27,5,G6, ,21
28,5,G7, ,21
29,5,G8, ,21
30,4,S3,FCE_Group_Stage,14
31,5,G1,FCE_Group_A,30
32,5,G2,FCE_Group_B,30
33,5,G3,FCE_Group_C,30
34,5,G4,FCE_Group_D,30
35,5,G5,FCE_Group_E,30
36,5,G6,FCE_Group_F,30
37,5,G7,FCE_Group_G,30
38,5,G8,FCE_Group_H,30
39,4,S4,FCE_Round_of_16,14
40,5,G1, ,39
41,5,G2, ,39
42,5,G3, ,39
43,5,G4, ,39
44,5,G5, ,39
45,5,G6, ,39
46,5,G7, ,39
47,5,G8, ,39
48,4,S5,FCE_Quarter_Finals,14
49,5,G1, ,48
50,5,G2, ,48
51,5,G3, ,48
52,5,G4, ,48
53,4,S6,FCE_Semi_Finals,14
54,5,G1, ,53
55,5,G2, ,53
56,4,S7,FCE_Third_Place,14
57,5,G1, ,56
58,4,S8,FCE_Final,14
59,5,G1, ,58
60,3,C980,TrophyName_Abbr15_980,0
61,4,S1,FCE_Setup_Stage,60
62,5,G1, ,61
63,5,G2, ,61
64,5,G3, ,61
65,5,G4, ,61
66,4,S2,FCE_Group_Stage,60
67,5,G1,FCE_Group_A,66
68,5,G2,FCE_Group_B,66
69,5,G3,FCE_Group_C,66
70,5,G4,FCE_Group_D,66
71,5,G5,FCE_Group_E,66
72,5,G6,FCE_Group_F,66
73,4,S3,FCE_Setup_Stage_2,60
74,5,G1, ,73
75,4,S4,FCE_Playoff_Setup_Stage,60
76,5,G1, ,75
77,4,S5,FCE_Round_of_16,60
78,5,G1, ,77
79,5,G2, ,77
80,5,G3, ,77
81,5,G4, ,77
82,5,G5, ,77
83,5,G6, ,77
84,5,G7, ,77
85,5,G8, ,77
86,4,S6,FCE_Quarter_Finals,60
87,5,G1, ,86
88,5,G2, ,86
89,5,G3, ,86
90,5,G4, ,86
91,4,S7,FCE_Semi_Finals,60
92,5,G1, ,91
93,5,G2, ,91
94,4,S8,FCE_Final,60
95,5,G1, ,94
96,3,C232,TrophyName_Abbr15_232,0
97,4,S1,FCE_Final,96
98,5,G1, ,97
99,3,C223,TrophyName_Abbr15_223,0
100,4,S1,FCE_Group_Stage,99
101,5,G1,FCE_Group_A,100
102,5,G2,FCE_Group_B,100
103,5,G3,FCE_Group_C,100
104,5,G4,FCE_Group_D,100
105,5,G5,FCE_Group_E,100
106,5,G6,FCE_Group_F,100
107,5,G7,FCE_Group_G,100
